iter	Logloss
0	0.690393968
1	0.6885379941
2	0.6856001131
3	0.6832211049
4	0.6808200925
5	0.6782358575
6	0.6761969332
7	0.6749455833
8	0.672611128
9	0.6705669206
10	0.6686826245
11	0.6668877612
12	0.6644978054
13	0.6631766304
14	0.660990921
15	0.6590584228
16	0.6574821848
17	0.6553346014
18	0.6539072728
19	0.6521685091
20	0.6499829087
21	0.6486561782
22	0.6472324987
23	0.6451849144
24	0.6435007254
25	0.641842462
26	0.6407988988
27	0.6397264688
28	0.6379408646
29	0.6365958881
30	0.6351851715
31	0.6336049575
32	0.6324796413
33	0.6311347737
34	0.6298381083
35	0.628510234
36	0.6271076872
37	0.6260401591
38	0.6246885922
39	0.6234743879
40	0.6222376348
41	0.6211527321
42	0.6200130369
43	0.6188796597
44	0.6178319027
45	0.617160068
46	0.6155911829
47	0.6147114526
48	0.6138747502
49	0.6129350531
50	0.611881087
51	0.6108286458
52	0.6100540344
53	0.609118749
54	0.6077714849
55	0.6066362559
56	0.6056486835
57	0.6047799552
58	0.6035869381
59	0.6025783419
60	0.6015731225
61	0.6003880029
62	0.5993343635
63	0.5987987476
64	0.5979486467
65	0.5972864524
66	0.5965676139
67	0.5957412055
68	0.5953644661
69	0.594501021
70	0.5938873557
71	0.5928167775
72	0.5921107929
73	0.5913268133
74	0.5908162516
75	0.5902545466
76	0.5894804253
77	0.5888680128
78	0.588256744
79	0.58762358
80	0.58714853
81	0.5863378622
82	0.5855221836
83	0.5847838463
84	0.5843836321
85	0.5839286255
86	0.5832132727
87	0.5827407826
88	0.5822882269
89	0.5816167191
90	0.5812503282
91	0.5808214651
92	0.5803342692
93	0.5798664631
94	0.5793349322
95	0.5789106987
96	0.5784261716
97	0.5779920798
98	0.5774345687
99	0.5768564695
100	0.576554675
101	0.5761955825
102	0.575655337
103	0.5752598069
104	0.5748777844
105	0.5743839437
106	0.5740158099
107	0.573678776
108	0.5733504022
109	0.5730055797
110	0.5726343958
111	0.5722443123
112	0.5715448635
113	0.5711701938
114	0.5706961787
115	0.5702774462
116	0.5700324594
117	0.5695741848
118	0.5691524567
119	0.568728659
120	0.5683463096
121	0.5680346023
122	0.5677889074
123	0.5674377669
124	0.5671809066
125	0.5667329805
126	0.5662866884
127	0.5660903939
128	0.5656904521
129	0.5655058678
130	0.5652293453
131	0.5647792406
132	0.5643777193
133	0.5641432989
134	0.5636991854
135	0.5633666177
136	0.5630258801
137	0.5625703289
138	0.5622519223
139	0.5620209876
140	0.561856719
141	0.5614947398
