iter	Passed	Remaining
0	7	7508
1	12	6103
2	19	6474
3	26	6484
4	32	6554
5	39	6540
6	44	6328
7	51	6372
8	57	6379
9	64	6401
10	71	6466
11	79	6512
12	85	6522
13	92	6531
14	99	6548
15	106	6535
16	112	6524
17	120	6552
18	126	6533
19	133	6541
20	140	6535
21	147	6537
22	154	6554
23	160	6544
24	167	6533
25	174	6553
26	182	6565
27	188	6559
28	196	6565
29	202	6555
30	209	6545
31	216	6555
32	223	6552
33	230	6551
34	237	6552
35	244	6557
36	252	6559
37	258	6552
38	265	6541
39	272	6547
40	279	6539
41	286	6534
42	293	6529
43	300	6531
44	307	6533
45	314	6532
46	321	6524
47	328	6525
48	335	6519
49	342	6511
50	349	6512
51	357	6513
52	364	6508
53	371	6507
54	378	6502
55	385	6503
56	392	6492
57	400	6497
58	406	6488
59	413	6480
60	420	6480
61	428	6477
62	435	6471
63	441	6462
64	448	6457
65	456	6453
66	462	6444
67	469	6431
68	476	6423
69	482	6413
70	489	6405
71	496	6399
72	503	6388
73	509	6379
74	516	6368
75	523	6367
76	530	6361
77	537	6353
78	544	6348
79	551	6341
80	558	6331
81	565	6328
82	572	6328
83	579	6320
84	586	6310
85	593	6304
86	599	6294
87	606	6285
88	613	6280
89	620	6275
90	627	6271
91	634	6265
92	641	6259
93	648	6251
94	655	6248
95	662	6241
96	670	6239
97	677	6236
98	684	6229
99	691	6227
100	695	6194
101	703	6189
102	710	6186
103	717	6181
104	724	6175
105	731	6169
106	738	6163
107	745	6158
108	752	6154
109	759	6145
110	766	6141
111	773	6134
112	780	6125
113	787	6116
114	793	6108
115	801	6104
116	808	6098
117	815	6092
118	821	6084
119	828	6077
120	835	6071
121	842	6061
122	849	6056
123	856	6047
124	862	6040
125	869	6034
126	876	6028
127	883	6021
128	890	6014
129	898	6010
130	904	6002
131	911	5993
132	918	5988
133	925	5982
134	932	5975
135	939	5969
136	946	5963
137	954	5959
138	960	5950
139	967	5942
140	974	5935
141	981	5931
142	988	5926
143	996	5920
144	1003	5914
145	1009	5905
146	1016	5900
147	1024	5895
148	1031	5889
149	1038	5883
150	1045	5875
151	1052	5870
152	1059	5865
153	1066	5860
154	1073	5853
155	1080	5846
156	1087	5838
157	1093	5828
158	1100	5822
159	1107	5813
160	1114	5809
161	1122	5804
162	1129	5800
163	1136	5794
164	1143	5785
165	1150	5778
166	1156	5770
167	1164	5764
168	1170	5756
169	1177	5748
170	1184	5742
171	1191	5737
172	1198	5730
173	1205	5722
174	1212	5714
175	1219	5709
176	1226	5703
177	1233	5694
178	1240	5687
179	1246	5680
180	1254	5674
181	1261	5669
182	1268	5664
183	1275	5656
184	1282	5648
185	1288	5640
186	1296	5635
187	1303	5629
188	1310	5622
189	1317	5614
190	1324	5609
191	1331	5603
192	1337	5593
193	1344	5587
194	1351	5580
195	1358	5574
196	1365	5567
197	1373	5562
198	1380	5556
199	1387	5550
200	1394	5544
201	1401	5536
