,model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
0,StackedEnsemble_BestOfFamily_4_AutoML_1_20241015_104849,0.8151904313744177,0.15536989561188974,0.27267839685011097,0.3379752445169822,0.19945919493701986,0.039783970444924086
1,StackedEnsemble_BestOfFamily_6_AutoML_1_20241015_104849,0.8151567767836932,0.15546200095235646,0.27146090616178337,0.3385121692617433,0.1995078289322846,0.03980337380527374
2,GBM_grid_1_AutoML_1_20241015_104849_model_450,0.8138842758604258,0.15702296048483927,0.26783721146815465,0.3235352211672484,0.20060493437259014,0.040242339694631216
3,GBM_grid_1_AutoML_1_20241015_104849_model_394,0.8133114330303428,0.15694312932243862,0.28000333673109346,0.3051146638710523,0.20029854636007166,0.04011950767395776
4,StackedEnsemble_AllModels_4_AutoML_1_20241015_104849,0.8131660332852837,0.15702459397299978,0.2676438899269815,0.3068723269915774,0.20105199128194584,0.04042190319843563
5,GBM_grid_1_AutoML_1_20241015_104849_model_741,0.8115100487246996,0.15779897409483126,0.2704993838402802,0.3374770374429659,0.20088805775155424,0.0403560117471918
6,GBM_grid_1_AutoML_1_20241015_104849_model_928,0.8111445539128673,0.15721110460988766,0.2756466162192349,0.32239930427323954,0.2002865827112496,0.04011471521415021
7,GBM_grid_1_AutoML_1_20241015_104849_model_882,0.8104869491666765,0.15851471062967598,0.27158766070523344,0.3414444669470223,0.20114669461990128,0.04045999275651182
8,GBM_grid_1_AutoML_1_20241015_104849_model_169,0.8104236308835968,0.15744272261585987,0.2812802984280652,0.3592119464862225,0.20031597525278405,0.040126489941474
9,GBM_grid_1_AutoML_1_20241015_104849_model_905,0.8101614229041828,0.15754983290026695,0.2676968450656257,0.3556419389809509,0.2004790365598756,0.040191844099975935
10,StackedEnsemble_AllModels_3_AutoML_1_20241015_104849,0.8097237940934704,0.15567193110069136,0.2857091592044417,0.32562883453854496,0.19889602227162465,0.0395596276754746
11,GBM_grid_1_AutoML_1_20241015_104849_model_397,0.8090257442727631,0.15768470286303055,0.27407324375051034,0.3174793009375633,0.20068761175906685,0.040275517513557936
12,GBM_grid_1_AutoML_1_20241015_104849_model_687,0.8088189323453377,0.15782725061862304,0.2692693029375556,0.3211369890756603,0.20060239911083128,0.04024132252902124
13,GBM_grid_1_AutoML_1_20241015_104849_model_104,0.8086341597074136,0.15770171923401002,0.2739708786624502,0.3168546955599767,0.2006512148199578,0.04026091000872485
